Set,Price_Euro,Pieces,Minifigs
1974 Porsche 911 Turbo 3.0,,,1.0
Dilophosaurus on the Loose,,,3.0
Baryonyx Face-Off: The Treasure Hunt,,,4.0
Jurassic Park: T. rex Rampage,,,6.0
Triceratops Rampage,,,4.0
T. rex vs Dino-Mech Battle,,,4.0
Expecto Patronum,,,4.0
Hungarian Horntail Triwizard Challenge,,,4.0
Hagrid's Hut: Buckbeak's Rescue,,,6.0
Hogwarts Clock Tower,,,8.0
The Knight Bus,,,3.0
Beauxbatons' Carriage: Arrival at Hogwarts ,,,4.0
LEGO Harry Potter Advent Calendar,,,8.0
The Rise of Voldemort,,,6.0
Tracer vs. Widowmaker,,,2.0
Hanzo vs. Genji,,,3.0
Dorado Showdown,,,3.0
D.Va & Reinhardt,,,2.0
Bastion,,,
Watchpoint: Gibraltar,,,4.0
Wrecking Ball,,,1.0
Junkrat & Roadhog,,,2.0
Spider-Man Bike Rescue,,,3.0
Spider-Man's Spider Crawler,,,4.0
Spider Mech vs. Venom,,,4.0
Batman Batsub and the Underwater Clash,,,3.0
Batman Mech vs. Poison Ivy Mech ,,,4.0
Mr. Freeze Batcycle Battle,,,3.0
Batmobile: Pursuit of The Joker,,,2.0
Batwing and The Riddler Heist,,,4.0
Batcave Clayface Invasion,,,6.0
Captain America: Outriders Attack,,,4.0
War Machine Buster,,,4.0
Iron Man Hall of Armor,,,6.0
Avengers Ultimate Quinjet,,,6.0
Captain Marvel and The Skrull Attack,,,3.0
Molten Man Battle,,,3.0
Hydro-Man Attack,,,4.0
Stark Jet and the Drone Attack,,,4.0
Avengers Compound Battle,,,7.0
Spider-Man Car Chase,,,2.0
Spider-Man: Doc Ock Diamond Heist,,,3.0
Batman vs. The Riddler Robbery,,,2.0
Batman and The Joker Escape,,,4.0
1989 Batmobile,,,3.0
Avengers Hulk Helicopter Rescue,,,5.0
Sith Trooper Bust,,,
Captain Marvel and the Asis,,,2.0
The Dark Knight of Gotham City,,,1.0
Chinese New Year's Eve Dinner,,,6.0
Dragon Dance,,,5.0
Dragon Boat Race,,,15.0
Koi,,,
Shark Skin,,,
Splash Koi Skin,,,
Ink Koi Skin,,,
Boost Hub,,,
Colour & Distance Sensor,,,
Medium Linear Motor,,,
Train Motor,,,
Garmadon,,,1.0
Garmadon,,,1.0
Wu,,,1.0
Wu,,,1.0
